Name,Employee ID,Service Center,Date,Gap Time,First Pro Number,First Pro HU,Second Pro Number,Second Pro HU
John White,93384238,STX,2023-08-01,30.92,8616121950,1,8133736119,1
John White,93384238,STX,2023-08-01,21.01,1453127088,7,8021147504,6
John White,93384238,STX,2023-08-01,23.28,658421646,4,9188523547,5
John White,93384238,STX,2023-08-01,21.67,7970029865,3,5341804165,5
Sandra Hopkins,48756022,DAL,2023-08-01,28.81,7371475378,2,4185730711,3
Sandra Hopkins,48756022,DAL,2023-08-01,26.93,2095568604,3,527794802,6
Sandra Hopkins,48756022,DAL,2023-08-01,24.47,1517101974,5,557660183,1
Jill Perez,18947956,DAL,2023-08-01,30.54,4689477063,3,5594449793,5
Jill Perez,18947956,DAL,2023-08-01,27.64,4366103634,5,6153777131,5
Jill Perez,18947956,DAL,2023-08-01,27.57,2214414062,1,1047634481,7
Jill Perez,18947956,DAL,2023-08-01,29.88,1740732849,7,430246713,7
Jill Perez,18947956,DAL,2023-08-01,30.21,8328970224,1,1210209003,1
Jill Perez,18947956,DAL,2023-08-01,25.33,4656872844,2,8883342784,7
John Jones,77743148,HOU,2023-08-01,27.09,7506514815,4,8600624413,8
John Jones,77743148,HOU,2023-08-01,23.35,8662861238,6,2630391576,8
John Jones,77743148,HOU,2023-08-01,23.26,2657077767,1,504178999,7
John Jones,77743148,HOU,2023-08-01,34.04,2786780017,8,1610585675,1
John Jones,77743148,HOU,2023-08-01,21.51,1117441863,1,6799461973,6
John Jones,77743148,HOU,2023-08-01,24.44,3304430643,7,4979791040,7
John Jones,77743148,HOU,2023-08-01,23.42,5279478461,4,6722631734,6
Valerie Martinez,11650492,FTW,2023-08-01,22.89,800074962,3,3579797153,2
Chelsea Maddox,66295315,STX,2023-08-01,27.85,449717916,4,2357629446,2
Chelsea Maddox,66295315,STX,2023-08-01,29.06,5642419761,3,7891285498,6
Chelsea Maddox,66295315,STX,2023-08-01,23.32,2024805293,7,1323870076,7
Chelsea Maddox,66295315,STX,2023-08-01,34.4,3808444270,2,6089665670,4
Chelsea Maddox,66295315,STX,2023-08-01,31.86,4071428396,1,1412857367,8
Chelsea Maddox,66295315,STX,2023-08-01,25.52,2215862850,8,3208109413,7
Chase Hammond,23514686,FTW,2023-08-01,26.86,9204608390,8,5895285107,8
Chase Hammond,23514686,FTW,2023-08-01,23.83,6010910328,7,9277160710,1
Chase Hammond,23514686,FTW,2023-08-01,25.12,3158947621,6,1559465687,3
Dorothy Mcbride,83218580,DAL,2023-08-01,29.84,1848360515,4,554757314,2
Dorothy Mcbride,83218580,DAL,2023-08-01,27.9,7415638484,8,8409979790,8
Dorothy Mcbride,83218580,DAL,2023-08-01,24.55,9178166680,2,9457025727,2
Dorothy Mcbride,83218580,DAL,2023-08-01,20.07,3843913990,6,7014349245,5
Dorothy Mcbride,83218580,DAL,2023-08-01,23.21,3224344177,3,8421431235,4
Dorothy Mcbride,83218580,DAL,2023-08-01,28.59,2834870546,8,9914260835,7
Dorothy Mcbride,83218580,DAL,2023-08-01,25.87,8334242943,3,3753057145,6
Dorothy Mcbride,83218580,DAL,2023-08-01,33.17,9327007052,1,4137224013,3
Barbara Ryan,17568007,DAL,2023-08-01,27.83,9547805054,3,1098958869,2
Barbara Ryan,17568007,DAL,2023-08-01,29.83,3372615928,5,3225632139,8
Barbara Ryan,17568007,DAL,2023-08-01,24.06,2385693767,8,3979931289,3
Lynn Hawkins,87449731,HOU,2023-08-01,33.66,504362462,6,8858008237,6
Lynn Hawkins,87449731,HOU,2023-08-01,33.29,2783534765,6,1449501067,5
Lynn Hawkins,87449731,HOU,2023-08-01,29.52,2708317274,8,5453999704,2
Lynn Hawkins,87449731,HOU,2023-08-01,33.97,9425659081,7,8374706198,3
Lynn Hawkins,87449731,HOU,2023-08-01,32.58,9700291845,6,3220708513,7
Lynn Hawkins,87449731,HOU,2023-08-01,20.38,3409801095,5,6487610664,5
Lynn Hawkins,87449731,HOU,2023-08-01,23.55,4211403998,5,3950570461,7
Lynn Hawkins,87449731,HOU,2023-08-01,32.44,9437857289,1,8115944911,3
Clarence Gonzalez,2392005,HOU,2023-08-01,34.03,9817372013,6,1086320100,7
Clarence Gonzalez,2392005,HOU,2023-08-01,22.15,2656197747,6,2221859845,8
Anna Smith,2526554,FTW,2023-08-01,25.2,9795991689,6,8967268988,1
Anna Smith,2526554,FTW,2023-08-01,21.14,7989257901,2,354981367,5
Anna Smith,2526554,FTW,2023-08-01,33.58,2678789441,2,2717132837,7
Peggy Tate,30840273,FTW,2023-08-01,24.97,7553537061,7,2530120420,6
Matthew Miles,88643207,FTW,2023-08-01,23.41,7405520658,2,5338507636,1
Matthew Miles,88643207,FTW,2023-08-01,23.39,5507249269,6,1900432137,3
Ruth Hansen,26410811,OKC,2023-08-01,29.23,3310066405,4,1952760403,5
Melissa Jones,92375666,FTW,2023-08-01,34.52,3980715062,8,9396923525,8
Melissa Jones,92375666,FTW,2023-08-01,20.16,7372916451,2,1684359305,4
Melissa Jones,92375666,FTW,2023-08-01,24.02,5696204273,3,159819949,2
Melissa Jones,92375666,FTW,2023-08-01,27.45,4346999272,8,1024643540,4
Melissa Jones,92375666,FTW,2023-08-01,21.7,279532451,6,1266544391,6
Melissa Jones,92375666,FTW,2023-08-01,30.86,8694949119,7,1310125341,5
Jose Lloyd,56962859,FTW,2023-08-01,32.39,6679260055,5,2657772327,4
Jose Lloyd,56962859,FTW,2023-08-01,22.45,4355296809,5,5502549311,3
Travis Hernandez,31868090,DAL,2023-08-01,23.18,7646038875,8,7469253049,3
Travis Hernandez,31868090,DAL,2023-08-01,22.11,530136784,4,9447740996,2
Travis Hernandez,31868090,DAL,2023-08-01,25.67,5987423892,6,5609003580,7
Travis Hernandez,31868090,DAL,2023-08-01,22.38,3796594196,3,3063429399,8
Travis Hernandez,31868090,DAL,2023-08-01,25.91,7058547631,3,9108988017,1
Elaine Flores,82308356,OKC,2023-08-01,30.83,8139853843,1,3755064928,8
Elaine Flores,82308356,OKC,2023-08-01,25.09,3330246820,4,7481154891,4
Elaine Flores,82308356,OKC,2023-08-01,27.75,6899239753,6,7713826911,8
Elaine Flores,82308356,OKC,2023-08-01,20.14,4803579374,1,2590063526,1
Elaine Flores,82308356,OKC,2023-08-01,20.12,2765081983,3,1997179358,1
Elaine Flores,82308356,OKC,2023-08-01,20.34,7640048065,2,7407677365,5
Kiara Williams,9364733,FTW,2023-08-01,28.35,6670029873,2,9223996165,1
Kiara Williams,9364733,FTW,2023-08-01,29.22,5317634867,4,7566909260,2
Kiara Williams,9364733,FTW,2023-08-01,22.05,2537487444,4,6326703180,4
Kiara Williams,9364733,FTW,2023-08-01,24.56,5651966967,1,9107885597,7
Kiara Williams,9364733,FTW,2023-08-01,20.5,9616635361,1,2739087955,4
Kiara Williams,9364733,FTW,2023-08-01,31.89,759334819,1,9598149540,4
Kiara Williams,9364733,FTW,2023-08-01,34.66,4226683878,1,7598771156,7
Kiara Williams,9364733,FTW,2023-08-01,32.73,8690277835,6,7563357783,2
Erin Johnson,47665349,HOU,2023-08-01,21.04,2932731803,2,5892567062,5
Erin Johnson,47665349,HOU,2023-08-01,34.04,4349081349,1,3481436103,5
Kimberly Lawson,16559716,SHV,2023-08-01,20.04,5098994052,4,786634257,7
Kimberly Lawson,16559716,SHV,2023-08-01,33.84,6375301844,5,1179040736,3
Kimberly Lawson,16559716,SHV,2023-08-01,30.58,2335502687,5,7093467867,1
Kimberly Lawson,16559716,SHV,2023-08-01,33.3,7779115729,7,2553970794,8
Kimberly Lawson,16559716,SHV,2023-08-01,30.83,1140923727,8,8710349893,1
Kimberly Lawson,16559716,SHV,2023-08-01,23.99,2885597865,5,9795310032,5
Kimberly Lawson,16559716,SHV,2023-08-01,30.76,7283583964,2,9843042973,4
Kimberly Lawson,16559716,SHV,2023-08-01,28.02,5201920038,5,5572701669,2
Mary Watson,6002164,HOU,2023-08-01,26.91,9428756720,3,150678659,1
Mary Watson,6002164,HOU,2023-08-01,28.35,5114862036,1,9585320966,6
Mary Watson,6002164,HOU,2023-08-01,21.19,8103293405,4,1941854700,5
Mary Watson,6002164,HOU,2023-08-01,31.45,4546712236,6,6329393596,7
Mary Watson,6002164,HOU,2023-08-01,20.36,5028714087,2,7166690508,2
Mary Watson,6002164,HOU,2023-08-01,25.68,1548866641,5,2254591617,1
Mary Watson,6002164,HOU,2023-08-01,23.74,6991913037,1,1403363742,5
David Newton,67750878,STX,2023-08-01,34.62,9848475031,3,4301071092,5
David Newton,67750878,STX,2023-08-01,32.81,9835707607,1,2655118435,8
Rachel Parsons,26264579,FTW,2023-08-01,20.38,1864036889,7,8816190988,1
Rachel Parsons,26264579,FTW,2023-08-01,22.31,3930447687,3,834580807,2
Rachel Parsons,26264579,FTW,2023-08-01,31.29,5488867474,3,3683616580,6
Rachel Parsons,26264579,FTW,2023-08-01,23.44,6762003046,5,2145080917,1
Karen Mathis,27600905,HOU,2023-08-01,27.49,2203086312,5,7228585213,6
Karen Mathis,27600905,HOU,2023-08-01,30.26,8543057690,2,2496882973,4
Jennifer Bowman,59486462,FTW,2023-08-01,31.01,2245975398,5,3136963936,4
Jennifer Bowman,59486462,FTW,2023-08-01,25.15,8852900974,7,3534044118,7
Jennifer Bowman,59486462,FTW,2023-08-01,32.02,7065032964,2,6806238939,4
Jennifer Bowman,59486462,FTW,2023-08-01,33.74,5407375097,5,3965184983,7
Patrick Small,39057094,HOU,2023-08-01,31.47,6924488060,6,2915267900,5
Patrick Small,39057094,HOU,2023-08-01,20.97,8202461679,2,6010229308,8
Patrick Small,39057094,HOU,2023-08-01,26.62,1089668685,6,9695630827,1
Patrick Small,39057094,HOU,2023-08-01,26.48,9996203183,4,2351503830,1
Patrick Small,39057094,HOU,2023-08-01,29.82,4386454037,8,8079526466,4
Patrick Small,39057094,HOU,2023-08-01,20.51,2200843647,8,1975522313,7
Patrick Small,39057094,HOU,2023-08-01,28.46,2794384586,4,4308932610,4
Patrick Small,39057094,HOU,2023-08-01,24.25,8506229224,5,5552862088,2
Jeremy Fry,1481337,STX,2023-08-01,32.31,7174874893,3,8158967018,4
Jeremy Fry,1481337,STX,2023-08-01,30.65,8023869168,6,2293328798,8
Jeremy Fry,1481337,STX,2023-08-01,28.59,8923041088,2,1256114257,7
Jeremy Fry,1481337,STX,2023-08-01,26.76,6847439934,2,2011658030,3
Jeremy Fry,1481337,STX,2023-08-01,25.79,8533656220,1,4469819339,2
Miranda West,46967111,STX,2023-08-01,21.28,9761061145,3,6049375166,1
Miranda West,46967111,STX,2023-08-01,32.65,3554627735,5,3416156508,7
Miranda West,46967111,STX,2023-08-01,28.82,750462760,1,4708329015,6
Miranda West,46967111,STX,2023-08-01,22.37,4274462126,7,5137402262,5
Miranda West,46967111,STX,2023-08-01,26.53,3396760871,1,4295778140,4
Miranda West,46967111,STX,2023-08-01,27.8,3968196721,5,7625024126,2
Jose Carroll,34218855,FTW,2023-08-01,24.87,177252803,1,6794513263,3
Jose Carroll,34218855,FTW,2023-08-01,24.77,4484199163,8,3252179009,2
Jose Carroll,34218855,FTW,2023-08-01,34.23,2451367221,1,3690125057,3
Jose Carroll,34218855,FTW,2023-08-01,20.7,125611294,5,6895441143,7
Jose Carroll,34218855,FTW,2023-08-01,29.69,991715169,2,670296928,5
Roberto Alexander,57320968,FTW,2023-08-01,28.76,4988954978,7,4608082473,1
Roberto Alexander,57320968,FTW,2023-08-01,22.98,7315968145,4,2216800401,8
Colin King,27389471,OKC,2023-08-01,33.89,1102799962,2,1534490305,2
Colin King,27389471,OKC,2023-08-01,25.66,7616545206,4,6802131961,6
Colin King,27389471,OKC,2023-08-01,33.91,9149582212,3,7992227061,1
Colin King,27389471,OKC,2023-08-01,21.75,1704997087,3,5349662109,2
Colin King,27389471,OKC,2023-08-01,25.77,870785872,5,9124613305,7
Colin King,27389471,OKC,2023-08-01,24.42,8880807045,5,7621437659,2
Colin King,27389471,OKC,2023-08-01,21.68,3445757853,5,5562747601,6
Colin King,27389471,OKC,2023-08-01,24.15,2615586120,5,8809471518,5
Ethan Gallegos,3536701,HOU,2023-08-01,24.13,7820389430,5,7036297708,6
Ethan Gallegos,3536701,HOU,2023-08-01,30.84,6501623303,7,5440446346,4
Ethan Gallegos,3536701,HOU,2023-08-01,23.15,7037614838,2,4211759530,4
Ethan Gallegos,3536701,HOU,2023-08-01,30.4,7730272405,7,3977749680,6
Brittany Webb,37390235,FTW,2023-08-01,20.56,2062789001,6,2067237980,5
Austin Herrera,60256606,STX,2023-08-01,21.65,4168850856,4,1483450177,3
Austin Herrera,60256606,STX,2023-08-01,29.08,6040285853,6,3454321371,2
Austin Herrera,60256606,STX,2023-08-01,22.72,8241667701,3,5250199795,7
Bryan Pham,7886301,STX,2023-08-01,24.98,3798894963,7,9588650689,7
Bryan Pham,7886301,STX,2023-08-01,27.95,3153497616,5,974456056,1
Bryan Pham,7886301,STX,2023-08-01,31.05,8065775058,5,4108043710,4
Bryan Pham,7886301,STX,2023-08-01,21.42,9574668942,4,8641744264,7
Bryan Pham,7886301,STX,2023-08-01,21.87,9831179582,6,5013444901,1
Jennifer Brown,57107385,DAL,2023-08-01,27.42,7271128577,2,7071461207,4
Jennifer Brown,57107385,DAL,2023-08-01,28.16,13420869,2,9777964464,3
Jennifer Brown,57107385,DAL,2023-08-01,27.96,2306109410,2,8756083487,4
Jennifer Brown,57107385,DAL,2023-08-01,20.83,5808997101,3,8972338721,5
Jennifer Brown,57107385,DAL,2023-08-01,25.27,3639926192,1,2228645824,6
Jennifer Brown,57107385,DAL,2023-08-01,33.76,7502227020,2,7904130852,3
Tiffany Smith,69716341,SHV,2023-08-01,24.42,206811365,1,6052715902,3
Tiffany Smith,69716341,SHV,2023-08-01,20.89,3228853062,5,96041743,2
Tiffany Smith,69716341,SHV,2023-08-01,22.24,428656684,1,3575810923,1
Tiffany Smith,69716341,SHV,2023-08-01,29.68,2211036145,5,2956906997,7
Kristy Jacobs,68190334,HOU,2023-08-01,27.83,6343846864,7,4496270821,1
Kristy Jacobs,68190334,HOU,2023-08-01,25.8,3792628257,5,8649830539,8
Kristy Jacobs,68190334,HOU,2023-08-01,29.84,633304507,2,6298206095,5
Kristy Jacobs,68190334,HOU,2023-08-01,24.79,7114487602,2,7939162662,7
Tony Powell,20879496,DAL,2023-08-01,28.7,4301410880,6,3403706214,2
Brandon Moreno,4793547,DAL,2023-08-01,30.43,5764414212,6,6354193886,1
Brandon Moreno,4793547,DAL,2023-08-01,25.02,650010648,4,4325262788,1
Brandon Moreno,4793547,DAL,2023-08-01,32.8,7716993314,4,7460658767,5
Brandon Moreno,4793547,DAL,2023-08-01,31.8,4761155115,7,4022616699,3
Brandon Moreno,4793547,DAL,2023-08-01,21.46,1483302323,2,6806729441,5
Brandon Moreno,4793547,DAL,2023-08-01,21.46,8110525745,5,4592296144,6
Anna Nelson,14325942,SHV,2023-08-01,32.68,198152227,4,6458848063,3
Jacob Carr,74843235,DAL,2023-08-01,33.73,3044398697,2,9821594016,6
Jacob Carr,74843235,DAL,2023-08-01,33.74,4495370101,1,1365798340,8
Pamela Maldonado,81354516,STX,2023-08-01,31.19,5813934097,7,8246357423,4
Pamela Maldonado,81354516,STX,2023-08-01,26.93,4864104731,2,218201774,8
Pamela Maldonado,81354516,STX,2023-08-01,24.22,7368597205,8,3361492487,6
Ryan Porter,34435132,OKC,2023-08-01,22.4,7685007281,2,5399712452,1
Ryan Porter,34435132,OKC,2023-08-01,24.98,3020004223,4,6257367740,5
Ryan Porter,34435132,OKC,2023-08-01,31.59,6284752683,3,5483585606,1
Ryan Porter,34435132,OKC,2023-08-01,32.98,1053312004,2,702363049,8
Ryan Porter,34435132,OKC,2023-08-01,28.88,584131666,6,7738116124,5
Ryan Porter,34435132,OKC,2023-08-01,24.91,4748500181,7,2640833896,5
Ryan Porter,34435132,OKC,2023-08-01,25.84,4293416574,4,8971631814,1
Ryan Porter,34435132,OKC,2023-08-01,34.0,6960031179,5,9113576590,8
Hunter Munoz,80766757,OKC,2023-08-01,24.25,9023089207,3,7448406608,2
John Woodward,43839176,DAL,2023-08-01,32.88,1593055498,1,8556742235,3
John Woodward,43839176,DAL,2023-08-01,24.88,1979896571,7,1134792198,3
Tina Brown,60561543,DAL,2023-08-01,33.47,8837968875,3,4258809302,5
Tina Brown,60561543,DAL,2023-08-01,29.06,8056695302,7,5344721640,5
Tina Hernandez,72195856,STX,2023-08-01,23.14,5540528782,5,8185344440,8
Tina Hernandez,72195856,STX,2023-08-01,27.57,270239778,6,5011767233,8
Tina Hernandez,72195856,STX,2023-08-01,27.8,5304770204,3,7533095809,2
Tina Hernandez,72195856,STX,2023-08-01,25.54,1653557014,7,3986190406,6
Monique Ray,64606888,HOU,2023-08-01,24.41,4801338115,6,6377799585,7
Monique Ray,64606888,HOU,2023-08-01,24.58,5902588117,7,4285231386,5
Monique Ray,64606888,HOU,2023-08-01,26.38,5127697886,5,1370883618,4
Monique Ray,64606888,HOU,2023-08-01,29.2,7763754892,7,468406326,7
Monique Ray,64606888,HOU,2023-08-01,25.6,8385498278,5,5864638800,4
Monique Ray,64606888,HOU,2023-08-01,33.92,2470531092,5,4693340130,4
Dave Graham,11267032,STX,2023-08-01,27.99,797660098,7,1398803245,5
Dave Graham,11267032,STX,2023-08-01,26.93,9894249603,2,7338986360,8
Dave Graham,11267032,STX,2023-08-01,22.24,9329862735,5,6577617215,8
Dave Graham,11267032,STX,2023-08-01,24.04,4553518131,6,8335835437,4
Timothy Mccormick,12800401,STX,2023-08-01,23.57,3207654563,4,3508359952,4
Timothy Mccormick,12800401,STX,2023-08-01,26.37,4959037759,4,9923067723,2
Timothy Mccormick,12800401,STX,2023-08-01,29.05,1299430070,7,5462667310,8
Timothy Mccormick,12800401,STX,2023-08-01,23.47,7720731658,4,9610439130,2
Timothy Mccormick,12800401,STX,2023-08-01,29.98,8198531327,5,233790728,6
Adam Farmer,43978655,DAL,2023-08-01,33.74,7629246491,8,2057011392,8
Adam Farmer,43978655,DAL,2023-08-01,21.77,7494534835,1,6929293257,3
Adam Farmer,43978655,DAL,2023-08-01,34.98,4281002711,2,3841592395,4
Adam Farmer,43978655,DAL,2023-08-01,24.87,4184886768,8,8881640469,2
Adam Farmer,43978655,DAL,2023-08-01,34.75,3742956097,8,970067066,3
Adam Farmer,43978655,DAL,2023-08-01,20.92,6625912964,1,1372674550,8
Chris Madden,94850672,OKC,2023-08-01,20.72,5141515030,1,6333849416,6
Chris Madden,94850672,OKC,2023-08-01,20.12,1244690788,1,4969810620,7
Chris Madden,94850672,OKC,2023-08-01,31.84,6358045272,8,9188904116,8
Gary Jennings,17112032,DAL,2023-08-01,21.89,6884609425,4,7808361576,1
