Name,Employee ID,Service Center,Date,Reweigh Total,Reweigh Captured,Reweigh Percentage
David Newton,67750878,STX,2023-08-01,17,12,0.71
Rachel Parsons,26264579,FTW,2023-08-01,0,0,
Karen Mathis,27600905,HOU,2023-08-01,8,5,0.62
Jennifer Bowman,59486462,FTW,2023-08-01,1,0,0.0
Patrick Small,39057094,HOU,2023-08-01,16,15,0.94
Jeremy Fry,1481337,STX,2023-08-01,8,4,0.5
Denise Sanchez,58873729,SHV,2023-08-01,38,0,0.0
Miranda West,46967111,STX,2023-08-01,25,3,0.12
Jose Carroll,34218855,FTW,2023-08-01,22,19,0.86
Roberto Alexander,57320968,FTW,2023-08-01,49,33,0.67
Colin King,27389471,OKC,2023-08-01,25,2,0.08
Ethan Gallegos,3536701,HOU,2023-08-01,11,7,0.64
Brittany Webb,37390235,FTW,2023-08-01,28,28,1.0
Austin Herrera,60256606,STX,2023-08-01,36,2,0.06
Bryan Pham,7886301,STX,2023-08-01,15,0,0.0
Brian Taylor,75222115,FTW,2023-08-01,36,3,0.08
Jennifer Brown,57107385,DAL,2023-08-01,79,1,0.01
Tiffany Smith,69716341,SHV,2023-08-01,61,60,0.98
Kristy Jacobs,68190334,HOU,2023-08-01,4,1,0.25
Tony Powell,20879496,DAL,2023-08-01,23,14,0.61
Brandon Moreno,4793547,DAL,2023-08-01,13,12,0.92
Anna Nelson,14325942,SHV,2023-08-01,28,13,0.46
Jacob Carr,74843235,DAL,2023-08-01,7,5,0.71
Pamela Maldonado,81354516,STX,2023-08-01,58,30,0.52
Ryan Porter,34435132,OKC,2023-08-01,24,14,0.58
Hunter Munoz,80766757,OKC,2023-08-01,8,6,0.75
James Bartlett,92131686,OKC,2023-08-01,34,28,0.82
John Woodward,43839176,DAL,2023-08-01,3,1,0.33
Tina Brown,60561543,DAL,2023-08-01,9,1,0.11
Tina Hernandez,72195856,STX,2023-08-01,2,2,1.0
Monique Ray,64606888,HOU,2023-08-01,10,7,0.7
Dave Graham,11267032,STX,2023-08-01,49,22,0.45
Timothy Mccormick,12800401,STX,2023-08-01,35,1,0.03
Adam Farmer,43978655,DAL,2023-08-01,81,61,0.75
Chris Madden,94850672,OKC,2023-08-01,3,1,0.33
Daniel Ibarra,42835825,HOU,2023-08-01,16,8,0.5
Gary Jennings,17112032,DAL,2023-08-01,0,0,
Tracy Johnson,8933606,STX,2023-08-01,6,6,1.0
Sara Davis,40994287,FTW,2023-08-01,19,7,0.37
Michael Gonzales,94497229,DAL,2023-08-01,25,10,0.4
Michael Leach,87179195,STX,2023-08-01,4,4,1.0
Mark Flowers,41639238,HOU,2023-08-01,23,7,0.3
Janice Farmer,97058780,STX,2023-08-01,32,3,0.09
Jacob Hood,31301588,FTW,2023-08-01,52,1,0.02
Elizabeth Stevenson,94871444,STX,2023-08-01,37,4,0.11
Tanner Romero,34636635,SHV,2023-08-01,5,3,0.6
Karen Wells,69335321,FTW,2023-08-01,3,0,0.0
Erik Thompson,49016266,HOU,2023-08-01,10,10,1.0
Rhonda Brooks,13604223,OKC,2023-08-01,13,1,0.08
Brandon Harrell,33123179,SHV,2023-08-01,17,11,0.65
Caitlin George,47685118,HOU,2023-08-01,11,7,0.64
Eric Jackson,53018010,SHV,2023-08-01,3,1,0.33
Thomas Cummings,57246918,FTW,2023-08-01,21,18,0.86
Heather Fuller,16604091,STX,2023-08-01,11,1,0.09
Jimmy Ruiz,63589781,SHV,2023-08-01,2,1,0.5
Veronica Powell,36801459,OKC,2023-08-01,17,10,0.59
Wanda Stanton,4154277,STX,2023-08-01,23,9,0.39
Tami Cooke,14858504,DAL,2023-08-01,17,11,0.65
Lori Glover,31638930,FTW,2023-08-01,10,4,0.4
Cassandra Mckinney,6676986,FTW,2023-08-01,15,6,0.4
Amanda Edwards,65745320,OKC,2023-08-01,80,50,0.62
Stephanie Williams,94908655,STX,2023-08-01,42,29,0.69
Sean Jensen,35869513,OKC,2023-08-01,59,33,0.56
Vicki Lucas,12893340,DAL,2023-08-01,21,8,0.38
Chris Strong,75702629,HOU,2023-08-01,8,5,0.62
Melody Morris,47601713,STX,2023-08-01,5,2,0.4
Brent Farmer,88724736,HOU,2023-08-01,10,2,0.2
Kaitlyn Riley,59208620,FTW,2023-08-01,105,34,0.32
Hunter Woods,75028321,DAL,2023-08-01,57,13,0.23
Jared Brown,52539361,FTW,2023-08-01,19,14,0.74
Tammy Martinez,70842924,DAL,2023-08-01,61,52,0.85
Amy Griffin,18363974,FTW,2023-08-01,0,0,
Susan Carlson,16135607,OKC,2023-08-01,13,6,0.46
Aaron Gaines,52252216,SHV,2023-08-01,2,0,0.0
Jacob Mccormick,72130366,SHV,2023-08-01,10,1,0.1
Timothy Doyle,7543154,FTW,2023-08-01,7,2,0.29
Alexandria Bass,21931263,SHV,2023-08-01,13,0,0.0
Monique Davis,39583203,STX,2023-08-01,38,22,0.58
James Rhodes,91962453,FTW,2023-08-01,30,29,0.97
Matthew Sanchez,96730712,FTW,2023-08-01,14,13,0.93
Seth Tran,26028559,SHV,2023-08-01,12,1,0.08
Jacob Taylor,82557048,SHV,2023-08-01,11,3,0.27
David West,97218182,FTW,2023-08-01,18,6,0.33
Christina Hernandez,73867417,OKC,2023-08-01,29,11,0.38
James Montoya,80808297,SHV,2023-08-01,30,2,0.07
James Cook,28080912,HOU,2023-08-01,62,58,0.94
Lisa Cox,85448011,OKC,2023-08-01,38,7,0.18
James Thompson,54275980,SHV,2023-08-01,9,5,0.56
Brandy Miller,17426573,DAL,2023-08-01,26,22,0.85
Matthew Smith,33080142,STX,2023-08-01,62,2,0.03
Jeffrey Smith,83152142,STX,2023-08-01,9,6,0.67
Bobby Cummings,30700646,HOU,2023-08-01,8,3,0.38
Sean Robertson,63184988,HOU,2023-08-01,3,1,0.33
Tammy Harris,75592235,STX,2023-08-01,32,17,0.53
Victoria Carlson,64573636,STX,2023-08-01,7,5,0.71
Ryan Brown,56185271,FTW,2023-08-01,12,10,0.83
Benjamin Stephens,34036186,DAL,2023-08-01,87,21,0.24
Douglas Nelson,7837865,OKC,2023-08-01,12,2,0.17
Monica Saunders,77624219,STX,2023-08-01,2,2,1.0
Anne French,35660979,DAL,2023-08-01,2,2,1.0
Brian Fisher,76391571,DAL,2023-08-01,27,1,0.04
Jeanne Williamson,71039737,DAL,2023-08-01,10,6,0.6
Douglas Nichols,77270999,SHV,2023-08-02,15,3,0.2
David Ford,9977034,FTW,2023-08-02,30,11,0.37
Sean Obrien,15537511,HOU,2023-08-02,17,13,0.76
Natalie Hopkins,40497336,SHV,2023-08-02,2,1,0.5
Stacy Turner,73458833,DAL,2023-08-02,10,3,0.3
James Harris,90946995,FTW,2023-08-02,47,16,0.34
Sarah Cook,26413709,SHV,2023-08-02,5,2,0.4
Amy Escobar,24798974,SHV,2023-08-02,43,37,0.86
Latoya Salazar,67499931,OKC,2023-08-02,19,6,0.32
Brenda Anderson,19927556,SHV,2023-08-02,3,2,0.67
Rachel Williams,82865659,FTW,2023-08-02,71,71,1.0
Dana Stewart,60786305,STX,2023-08-02,82,59,0.72
Sandra Harris,96132022,DAL,2023-08-02,2,0,0.0
James Roach,20716601,STX,2023-08-02,54,52,0.96
Anna Arnold,66814478,DAL,2023-08-02,4,4,1.0
Jose Mendoza,69637807,HOU,2023-08-02,15,15,1.0
Charles Lloyd,98201322,OKC,2023-08-02,5,1,0.2
Sheryl Hill,34639709,DAL,2023-08-02,7,4,0.57
David Murray,6339396,DAL,2023-08-02,8,8,1.0
Patricia Jackson,39617078,SHV,2023-08-02,0,0,
Jordan Riggs,45897467,DAL,2023-08-02,7,3,0.43
Gregory Stewart,4886122,HOU,2023-08-02,14,0,0.0
Mark Collier,9309564,OKC,2023-08-02,41,35,0.85
Lauren Singleton,42856486,STX,2023-08-02,20,16,0.8
Ronald Duarte,50493362,SHV,2023-08-02,24,2,0.08
John White,93384238,STX,2023-08-02,38,0,0.0
Sandra Hopkins,48756022,DAL,2023-08-02,6,1,0.17
Jill Perez,18947956,DAL,2023-08-02,59,24,0.41
John Jones,77743148,HOU,2023-08-02,51,48,0.94
Valerie Martinez,11650492,FTW,2023-08-02,21,10,0.48
Chelsea Maddox,66295315,STX,2023-08-02,2,1,0.5
Chase Hammond,23514686,FTW,2023-08-02,20,6,0.3
Dorothy Mcbride,83218580,DAL,2023-08-02,74,33,0.45
Barbara Ryan,17568007,DAL,2023-08-02,28,1,0.04
Lynn Hawkins,87449731,HOU,2023-08-02,18,1,0.06
Clarence Gonzalez,2392005,HOU,2023-08-02,34,1,0.03
Anna Smith,2526554,FTW,2023-08-02,10,8,0.8
Peggy Tate,30840273,FTW,2023-08-02,35,13,0.37
Matthew Miles,88643207,FTW,2023-08-02,9,8,0.89
Ruth Hansen,26410811,OKC,2023-08-02,13,2,0.15
Melissa Jones,92375666,FTW,2023-08-02,12,8,0.67
Jose Lloyd,56962859,FTW,2023-08-02,13,2,0.15
Travis Hernandez,31868090,DAL,2023-08-02,0,0,
Elaine Flores,82308356,OKC,2023-08-02,45,13,0.29
Kiara Williams,9364733,FTW,2023-08-02,6,1,0.17
Erin Johnson,47665349,HOU,2023-08-02,15,4,0.27
Kimberly Lawson,16559716,SHV,2023-08-02,15,6,0.4
Mary Watson,6002164,HOU,2023-08-02,5,1,0.2
David Newton,67750878,STX,2023-08-02,0,0,
Rachel Parsons,26264579,FTW,2023-08-02,43,24,0.56
Karen Mathis,27600905,HOU,2023-08-02,1,1,1.0
Jennifer Bowman,59486462,FTW,2023-08-02,20,17,0.85
Patrick Small,39057094,HOU,2023-08-02,8,4,0.5
Jeremy Fry,1481337,STX,2023-08-02,41,8,0.2
Denise Sanchez,58873729,SHV,2023-08-02,12,1,0.08
Miranda West,46967111,STX,2023-08-02,1,1,1.0
Jose Carroll,34218855,FTW,2023-08-02,37,31,0.84
Roberto Alexander,57320968,FTW,2023-08-02,6,2,0.33
Colin King,27389471,OKC,2023-08-02,27,19,0.7
Ethan Gallegos,3536701,HOU,2023-08-02,32,7,0.22
Brittany Webb,37390235,FTW,2023-08-02,18,11,0.61
Austin Herrera,60256606,STX,2023-08-02,1,1,1.0
Bryan Pham,7886301,STX,2023-08-02,9,5,0.56
Brian Taylor,75222115,FTW,2023-08-02,50,42,0.84
Jennifer Brown,57107385,DAL,2023-08-02,14,4,0.29
Tiffany Smith,69716341,SHV,2023-08-02,38,9,0.24
Kristy Jacobs,68190334,HOU,2023-08-02,32,18,0.56
Tony Powell,20879496,DAL,2023-08-02,13,9,0.69
Brandon Moreno,4793547,DAL,2023-08-02,10,3,0.3
Anna Nelson,14325942,SHV,2023-08-02,30,19,0.63
Jacob Carr,74843235,DAL,2023-08-02,23,21,0.91
Pamela Maldonado,81354516,STX,2023-08-02,7,7,1.0
Ryan Porter,34435132,OKC,2023-08-02,5,0,0.0
Hunter Munoz,80766757,OKC,2023-08-02,1,0,0.0
James Bartlett,92131686,OKC,2023-08-02,27,9,0.33
John Woodward,43839176,DAL,2023-08-02,2,0,0.0
Tina Brown,60561543,DAL,2023-08-02,3,3,1.0
Tina Hernandez,72195856,STX,2023-08-02,12,1,0.08
Monique Ray,64606888,HOU,2023-08-02,9,8,0.89
Dave Graham,11267032,STX,2023-08-02,20,5,0.25
Timothy Mccormick,12800401,STX,2023-08-02,3,1,0.33
Adam Farmer,43978655,DAL,2023-08-02,8,4,0.5
Chris Madden,94850672,OKC,2023-08-02,79,3,0.04
Daniel Ibarra,42835825,HOU,2023-08-02,3,1,0.33
Gary Jennings,17112032,DAL,2023-08-02,41,32,0.78
Tracy Johnson,8933606,STX,2023-08-02,8,8,1.0
Sara Davis,40994287,FTW,2023-08-02,11,7,0.64
Michael Gonzales,94497229,DAL,2023-08-02,8,4,0.5
Michael Leach,87179195,STX,2023-08-02,2,1,0.5
Mark Flowers,41639238,HOU,2023-08-02,22,4,0.18
Janice Farmer,97058780,STX,2023-08-02,4,1,0.25
Jacob Hood,31301588,FTW,2023-08-02,20,14,0.7
Elizabeth Stevenson,94871444,STX,2023-08-02,12,8,0.67
Tanner Romero,34636635,SHV,2023-08-02,17,1,0.06
Karen Wells,69335321,FTW,2023-08-02,26,16,0.62
Erik Thompson,49016266,HOU,2023-08-02,20,8,0.4
Rhonda Brooks,13604223,OKC,2023-08-02,12,3,0.25
Brandon Harrell,33123179,SHV,2023-08-02,46,1,0.02
Caitlin George,47685118,HOU,2023-08-02,31,22,0.71
Eric Jackson,53018010,SHV,2023-08-02,1,0,0.0
Thomas Cummings,57246918,FTW,2023-08-02,53,46,0.87
Heather Fuller,16604091,STX,2023-08-02,44,7,0.16
Jimmy Ruiz,63589781,SHV,2023-08-02,5,0,0.0
Veronica Powell,36801459,OKC,2023-08-02,11,4,0.36
Wanda Stanton,4154277,STX,2023-08-02,0,0,
Tami Cooke,14858504,DAL,2023-08-02,7,6,0.86
Lori Glover,31638930,FTW,2023-08-02,45,37,0.82
Cassandra Mckinney,6676986,FTW,2023-08-02,49,2,0.04
Amanda Edwards,65745320,OKC,2023-08-02,6,2,0.33
Stephanie Williams,94908655,STX,2023-08-02,38,16,0.42
Sean Jensen,35869513,OKC,2023-08-02,79,16,0.2
Vicki Lucas,12893340,DAL,2023-08-02,22,18,0.82
Chris Strong,75702629,HOU,2023-08-02,21,19,0.9
Melody Morris,47601713,STX,2023-08-02,34,6,0.18
Brent Farmer,88724736,HOU,2023-08-02,56,5,0.09
Kaitlyn Riley,59208620,FTW,2023-08-02,8,1,0.12
Hunter Woods,75028321,DAL,2023-08-02,9,3,0.33
Jared Brown,52539361,FTW,2023-08-02,65,65,1.0
Tammy Martinez,70842924,DAL,2023-08-02,21,4,0.19
Amy Griffin,18363974,FTW,2023-08-02,5,2,0.4
Susan Carlson,16135607,OKC,2023-08-02,8,8,1.0
Aaron Gaines,52252216,SHV,2023-08-02,2,1,0.5
Jacob Mccormick,72130366,SHV,2023-08-02,18,16,0.89
Timothy Doyle,7543154,FTW,2023-08-02,33,2,0.06
Alexandria Bass,21931263,SHV,2023-08-02,51,16,0.31
Monique Davis,39583203,STX,2023-08-02,13,11,0.85
James Rhodes,91962453,FTW,2023-08-02,3,0,0.0
Matthew Sanchez,96730712,FTW,2023-08-02,5,5,1.0
Seth Tran,26028559,SHV,2023-08-02,15,2,0.13
Jacob Taylor,82557048,SHV,2023-08-02,9,2,0.22
David West,97218182,FTW,2023-08-02,3,3,1.0
Christina Hernandez,73867417,OKC,2023-08-02,5,2,0.4
James Montoya,80808297,SHV,2023-08-02,3,3,1.0
James Cook,28080912,HOU,2023-08-02,15,13,0.87
Lisa Cox,85448011,OKC,2023-08-02,2,2,1.0
James Thompson,54275980,SHV,2023-08-02,10,4,0.4
Brandy Miller,17426573,DAL,2023-08-02,2,0,0.0
Matthew Smith,33080142,STX,2023-08-02,35,3,0.09
Jeffrey Smith,83152142,STX,2023-08-02,23,7,0.3
Bobby Cummings,30700646,HOU,2023-08-02,3,3,1.0
Sean Robertson,63184988,HOU,2023-08-02,67,3,0.04
Tammy Harris,75592235,STX,2023-08-02,13,12,0.92
Victoria Carlson,64573636,STX,2023-08-02,6,4,0.67
Ryan Brown,56185271,FTW,2023-08-02,50,40,0.8
Benjamin Stephens,34036186,DAL,2023-08-02,63,8,0.13
Douglas Nelson,7837865,OKC,2023-08-02,6,5,0.83
Monica Saunders,77624219,STX,2023-08-02,18,12,0.67
Anne French,35660979,DAL,2023-08-02,45,38,0.84
Brian Fisher,76391571,DAL,2023-08-02,8,0,0.0
Jeanne Williamson,71039737,DAL,2023-08-02,16,8,0.5
Douglas Nichols,77270999,SHV,2023-08-03,10,4,0.4
David Ford,9977034,FTW,2023-08-03,2,1,0.5
Sean Obrien,15537511,HOU,2023-08-03,23,4,0.17
Natalie Hopkins,40497336,SHV,2023-08-03,9,3,0.33
Stacy Turner,73458833,DAL,2023-08-03,56,13,0.23
James Harris,90946995,FTW,2023-08-03,5,0,0.0
Sarah Cook,26413709,SHV,2023-08-03,9,2,0.22
Amy Escobar,24798974,SHV,2023-08-03,36,11,0.31
Latoya Salazar,67499931,OKC,2023-08-03,7,5,0.71
Brenda Anderson,19927556,SHV,2023-08-03,0,0,
Rachel Williams,82865659,FTW,2023-08-03,4,1,0.25
Dana Stewart,60786305,STX,2023-08-03,17,17,1.0
Sandra Harris,96132022,DAL,2023-08-03,48,10,0.21
James Roach,20716601,STX,2023-08-03,33,33,1.0
Anna Arnold,66814478,DAL,2023-08-03,19,5,0.26
Jose Mendoza,69637807,HOU,2023-08-03,25,3,0.12
Charles Lloyd,98201322,OKC,2023-08-03,72,27,0.38
Sheryl Hill,34639709,DAL,2023-08-03,53,20,0.38
David Murray,6339396,DAL,2023-08-03,73,56,0.77
Patricia Jackson,39617078,SHV,2023-08-03,13,2,0.15
Jordan Riggs,45897467,DAL,2023-08-03,0,0,
Gregory Stewart,4886122,HOU,2023-08-03,0,0,
Mark Collier,9309564,OKC,2023-08-03,3,0,0.0
Lauren Singleton,42856486,STX,2023-08-03,47,43,0.91
Ronald Duarte,50493362,SHV,2023-08-03,1,1,1.0
John White,93384238,STX,2023-08-03,49,15,0.31
Sandra Hopkins,48756022,DAL,2023-08-03,2,1,0.5
Jill Perez,18947956,DAL,2023-08-03,27,14,0.52
John Jones,77743148,HOU,2023-08-03,12,1,0.08
Valerie Martinez,11650492,FTW,2023-08-03,0,0,
Chelsea Maddox,66295315,STX,2023-08-03,24,22,0.92
Chase Hammond,23514686,FTW,2023-08-03,2,1,0.5
Dorothy Mcbride,83218580,DAL,2023-08-03,7,4,0.57
Barbara Ryan,17568007,DAL,2023-08-03,0,0,
Lynn Hawkins,87449731,HOU,2023-08-03,88,41,0.47
Clarence Gonzalez,2392005,HOU,2023-08-03,0,0,
Anna Smith,2526554,FTW,2023-08-03,72,6,0.08
Peggy Tate,30840273,FTW,2023-08-03,8,1,0.12
Matthew Miles,88643207,FTW,2023-08-03,61,45,0.74
Ruth Hansen,26410811,OKC,2023-08-03,46,35,0.76
Melissa Jones,92375666,FTW,2023-08-03,11,4,0.36
Jose Lloyd,56962859,FTW,2023-08-03,25,17,0.68
Travis Hernandez,31868090,DAL,2023-08-03,20,16,0.8
Elaine Flores,82308356,OKC,2023-08-03,36,25,0.69
Kiara Williams,9364733,FTW,2023-08-03,11,5,0.45
Erin Johnson,47665349,HOU,2023-08-03,11,8,0.73
Kimberly Lawson,16559716,SHV,2023-08-03,0,0,
Mary Watson,6002164,HOU,2023-08-03,11,6,0.55
David Newton,67750878,STX,2023-08-03,11,2,0.18
Rachel Parsons,26264579,FTW,2023-08-03,1,1,1.0
Karen Mathis,27600905,HOU,2023-08-03,0,0,
Jennifer Bowman,59486462,FTW,2023-08-03,47,15,0.32
Patrick Small,39057094,HOU,2023-08-03,75,52,0.69
Jeremy Fry,1481337,STX,2023-08-03,18,1,0.06
Denise Sanchez,58873729,SHV,2023-08-03,21,16,0.76
Miranda West,46967111,STX,2023-08-03,20,3,0.15
Jose Carroll,34218855,FTW,2023-08-03,52,20,0.38
Roberto Alexander,57320968,FTW,2023-08-03,3,0,0.0
Colin King,27389471,OKC,2023-08-03,42,29,0.69
Ethan Gallegos,3536701,HOU,2023-08-03,20,17,0.85
Brittany Webb,37390235,FTW,2023-08-03,70,36,0.51
Austin Herrera,60256606,STX,2023-08-03,56,20,0.36
Bryan Pham,7886301,STX,2023-08-03,8,4,0.5
Brian Taylor,75222115,FTW,2023-08-03,44,8,0.18
Jennifer Brown,57107385,DAL,2023-08-03,36,26,0.72
Tiffany Smith,69716341,SHV,2023-08-03,7,2,0.29
Kristy Jacobs,68190334,HOU,2023-08-03,7,5,0.71
Tony Powell,20879496,DAL,2023-08-03,0,0,
Brandon Moreno,4793547,DAL,2023-08-03,14,10,0.71
Anna Nelson,14325942,SHV,2023-08-03,4,4,1.0
Jacob Carr,74843235,DAL,2023-08-03,47,30,0.64
Pamela Maldonado,81354516,STX,2023-08-03,55,16,0.29
Ryan Porter,34435132,OKC,2023-08-03,40,26,0.65
Hunter Munoz,80766757,OKC,2023-08-03,18,12,0.67
James Bartlett,92131686,OKC,2023-08-03,9,4,0.44
John Woodward,43839176,DAL,2023-08-03,48,20,0.42
Tina Brown,60561543,DAL,2023-08-03,19,19,1.0
Tina Hernandez,72195856,STX,2023-08-03,2,1,0.5
Monique Ray,64606888,HOU,2023-08-03,13,4,0.31
Dave Graham,11267032,STX,2023-08-03,0,0,
Timothy Mccormick,12800401,STX,2023-08-03,8,1,0.12
Adam Farmer,43978655,DAL,2023-08-03,24,16,0.67
Chris Madden,94850672,OKC,2023-08-03,42,11,0.26
Daniel Ibarra,42835825,HOU,2023-08-03,10,1,0.1
Gary Jennings,17112032,DAL,2023-08-03,79,26,0.33
Tracy Johnson,8933606,STX,2023-08-03,43,21,0.49
Sara Davis,40994287,FTW,2023-08-03,35,25,0.71
Michael Gonzales,94497229,DAL,2023-08-03,36,21,0.58
Michael Leach,87179195,STX,2023-08-03,15,0,0.0
Mark Flowers,41639238,HOU,2023-08-03,1,0,0.0
Janice Farmer,97058780,STX,2023-08-03,80,22,0.28
Jacob Hood,31301588,FTW,2023-08-03,22,16,0.73
Elizabeth Stevenson,94871444,STX,2023-08-03,18,8,0.44
Tanner Romero,34636635,SHV,2023-08-03,7,1,0.14
Karen Wells,69335321,FTW,2023-08-03,34,25,0.74
Erik Thompson,49016266,HOU,2023-08-03,41,27,0.66
Rhonda Brooks,13604223,OKC,2023-08-03,1,1,1.0
Brandon Harrell,33123179,SHV,2023-08-03,10,8,0.8
Caitlin George,47685118,HOU,2023-08-03,24,15,0.62
Eric Jackson,53018010,SHV,2023-08-03,6,1,0.17
Thomas Cummings,57246918,FTW,2023-08-03,4,4,1.0
Heather Fuller,16604091,STX,2023-08-03,56,31,0.55
Jimmy Ruiz,63589781,SHV,2023-08-03,23,10,0.43
Veronica Powell,36801459,OKC,2023-08-03,3,0,0.0
Wanda Stanton,4154277,STX,2023-08-03,30,17,0.57
Tami Cooke,14858504,DAL,2023-08-03,2,1,0.5
Lori Glover,31638930,FTW,2023-08-03,30,19,0.63
Cassandra Mckinney,6676986,FTW,2023-08-03,9,0,0.0
Amanda Edwards,65745320,OKC,2023-08-03,6,6,1.0
Stephanie Williams,94908655,STX,2023-08-03,29,23,0.79
Sean Jensen,35869513,OKC,2023-08-03,6,5,0.83
Vicki Lucas,12893340,DAL,2023-08-03,0,0,
Chris Strong,75702629,HOU,2023-08-03,0,0,
Melody Morris,47601713,STX,2023-08-03,39,15,0.38
Brent Farmer,88724736,HOU,2023-08-03,43,1,0.02
Kaitlyn Riley,59208620,FTW,2023-08-03,61,25,0.41
Hunter Woods,75028321,DAL,2023-08-03,6,6,1.0
Jared Brown,52539361,FTW,2023-08-03,2,0,0.0
Tammy Martinez,70842924,DAL,2023-08-03,5,0,0.0
Amy Griffin,18363974,FTW,2023-08-03,1,1,1.0
Susan Carlson,16135607,OKC,2023-08-03,45,36,0.8
Aaron Gaines,52252216,SHV,2023-08-03,1,0,0.0
Jacob Mccormick,72130366,SHV,2023-08-03,2,1,0.5
Timothy Doyle,7543154,FTW,2023-08-03,1,1,1.0
Alexandria Bass,21931263,SHV,2023-08-03,22,14,0.64
Monique Davis,39583203,STX,2023-08-03,2,1,0.5
James Rhodes,91962453,FTW,2023-08-03,0,0,
Matthew Sanchez,96730712,FTW,2023-08-03,42,37,0.88
Seth Tran,26028559,SHV,2023-08-03,42,7,0.17
Jacob Taylor,82557048,SHV,2023-08-03,4,0,0.0
David West,97218182,FTW,2023-08-03,22,21,0.95
Christina Hernandez,73867417,OKC,2023-08-03,9,7,0.78
James Montoya,80808297,SHV,2023-08-03,33,8,0.24
James Cook,28080912,HOU,2023-08-03,51,22,0.43
Lisa Cox,85448011,OKC,2023-08-03,6,1,0.17
James Thompson,54275980,SHV,2023-08-03,78,56,0.72
Brandy Miller,17426573,DAL,2023-08-03,9,9,1.0
Matthew Smith,33080142,STX,2023-08-03,21,4,0.19
Jeffrey Smith,83152142,STX,2023-08-03,28,23,0.82
Bobby Cummings,30700646,HOU,2023-08-03,29,16,0.55
Sean Robertson,63184988,HOU,2023-08-03,2,0,0.0
Tammy Harris,75592235,STX,2023-08-03,3,2,0.67
Victoria Carlson,64573636,STX,2023-08-03,0,0,
Ryan Brown,56185271,FTW,2023-08-03,17,2,0.12
Benjamin Stephens,34036186,DAL,2023-08-03,23,1,0.04
Douglas Nelson,7837865,OKC,2023-08-03,15,12,0.8
Monica Saunders,77624219,STX,2023-08-03,35,24,0.69
Anne French,35660979,DAL,2023-08-03,0,0,
Brian Fisher,76391571,DAL,2023-08-03,5,2,0.4
Jeanne Williamson,71039737,DAL,2023-08-03,14,12,0.86
Douglas Nichols,77270999,SHV,2023-08-04,8,6,0.75
