Name,Employee ID,Service Center,Date,Bills per Hour,Handled Shipments,Damaged,First Punch to Scan,First Scan to Punch,Second Punch to Scan,Second Scan to Punch,Dock Time
Janice Farmer,97058780,STX,2023-08-01,5.1,32,1,9,11,13,14,6.27
Jacob Hood,31301588,FTW,2023-08-01,8.6,89,1,17,17,21,14,10.35
Elizabeth Stevenson,94871444,STX,2023-08-01,10.4,119,1,17,15,15,11,11.44
Tanner Romero,34636635,SHV,2023-08-01,11.4,45,1,9,3,10,14,3.95
Karen Wells,69335321,FTW,2023-08-01,3.9,12,0,3,3,11,6,3.08
Erik Thompson,49016266,HOU,2023-08-01,4.7,20,0,4,7,2,12,4.26
Rhonda Brooks,13604223,OKC,2023-08-01,8.2,54,0,5,5,35,3,6.59
Brandon Harrell,33123179,SHV,2023-08-01,8.3,44,1,5,17,7,2,5.3
Caitlin George,47685118,HOU,2023-08-01,2.5,14,1,13,7,9,6,5.6
Eric Jackson,53018010,SHV,2023-08-01,7.3,31,0,2,10,17,27,4.25
Thomas Cummings,57246918,FTW,2023-08-01,6.1,25,0,12,18,12,10,4.1
Heather Fuller,16604091,STX,2023-08-01,9.3,86,1,16,18,11,16,9.25
Jimmy Ruiz,63589781,SHV,2023-08-01,0.9,4,1,41,51,17,18,4.44
Veronica Powell,36801459,OKC,2023-08-01,4.9,18,0,11,11,11,18,3.67
Wanda Stanton,4154277,STX,2023-08-01,3.0,34,1,4,9,42,3,11.33
Tami Cooke,14858504,DAL,2023-08-01,6.6,66,0,16,6,16,8,10.0
Lori Glover,31638930,FTW,2023-08-01,6.7,63,0,12,2,7,5,9.4
Cassandra Mckinney,6676986,FTW,2023-08-01,6.9,20,0,11,18,17,6,2.9
Amanda Edwards,65745320,OKC,2023-08-01,9.5,98,1,14,7,2,8,10.32
Stephanie Williams,94908655,STX,2023-08-01,10.1,95,0,2,15,11,3,9.41
Sean Jensen,35869513,OKC,2023-08-01,8.4,100,3,8,19,14,27,11.9
Vicki Lucas,12893340,DAL,2023-08-01,9.9,117,0,8,7,7,12,11.82
Chris Strong,75702629,HOU,2023-08-01,4.7,34,1,7,9,5,8,7.23
Melody Morris,47601713,STX,2023-08-01,2.6,9,0,11,14,18,2,3.46
Brent Farmer,88724736,HOU,2023-08-01,4.4,21,1,8,14,16,18,4.77
Kaitlyn Riley,59208620,FTW,2023-08-01,9.9,115,0,17,18,12,3,11.62
Hunter Woods,75028321,DAL,2023-08-01,7.5,77,1,12,15,5,64,10.27
Jared Brown,52539361,FTW,2023-08-01,4.6,27,0,8,4,27,15,5.87
Tammy Martinez,70842924,DAL,2023-08-01,11.5,72,1,6,15,10,17,6.26
Amy Griffin,18363974,FTW,2023-08-01,1.8,5,0,67,47,18,3,2.78
Susan Carlson,16135607,OKC,2023-08-01,11.7,32,0,9,8,36,8,2.74
Aaron Gaines,52252216,SHV,2023-08-01,1.4,3,1,17,8,4,54,2.14
Jacob Mccormick,72130366,SHV,2023-08-01,1.5,13,0,8,11,9,6,8.67
Timothy Doyle,7543154,FTW,2023-08-01,7.5,81,0,15,10,9,3,10.8
Alexandria Bass,21931263,SHV,2023-08-01,4.8,13,1,2,13,6,14,2.71
Monique Davis,39583203,STX,2023-08-01,4.7,54,1,15,9,4,5,11.49
James Rhodes,91962453,FTW,2023-08-01,6.7,34,1,19,10,4,4,5.07
Matthew Sanchez,96730712,FTW,2023-08-01,10.0,21,1,11,11,15,6,2.1
Seth Tran,26028559,SHV,2023-08-01,11.2,31,1,10,16,5,7,2.77
Jacob Taylor,82557048,SHV,2023-08-01,8.0,79,0,8,19,3,18,9.88
David West,97218182,FTW,2023-08-01,3.8,20,1,10,4,65,2,5.26
Christina Hernandez,73867417,OKC,2023-08-01,4.2,32,0,4,3,3,9,7.62
James Montoya,80808297,SHV,2023-08-01,5.0,41,2,15,2,15,59,8.2
James Cook,28080912,HOU,2023-08-01,5.2,62,1,6,6,16,10,11.92
Lisa Cox,85448011,OKC,2023-08-01,11.8,109,0,9,4,3,4,9.24
James Thompson,54275980,SHV,2023-08-01,9.1,57,1,3,10,11,2,6.26
Brandy Miller,17426573,DAL,2023-08-01,5.5,45,0,69,47,13,19,8.18
Matthew Smith,33080142,STX,2023-08-01,7.7,80,1,11,13,9,7,10.39
Jeffrey Smith,83152142,STX,2023-08-01,8.4,37,1,16,7,9,16,4.4
Bobby Cummings,30700646,HOU,2023-08-01,3.2,15,1,10,8,19,11,4.69
Sean Robertson,63184988,HOU,2023-08-01,1.8,20,0,7,8,10,16,11.11
Tammy Harris,75592235,STX,2023-08-01,8.2,98,0,2,2,6,15,11.95
Victoria Carlson,64573636,STX,2023-08-01,1.2,8,0,9,16,12,9,6.67
Ryan Brown,56185271,FTW,2023-08-01,4.9,33,1,7,8,50,47,6.73
Benjamin Stephens,34036186,DAL,2023-08-01,11.6,122,1,17,17,34,9,10.52
Douglas Nelson,7837865,OKC,2023-08-01,6.0,34,1,4,18,15,40,5.67
Monica Saunders,77624219,STX,2023-08-01,0.8,4,0,12,8,19,13,5.0
Anne French,35660979,DAL,2023-08-01,4.9,31,1,4,9,10,12,6.33
Brian Fisher,76391571,DAL,2023-08-01,6.7,29,0,15,3,8,13,4.33
Jeanne Williamson,71039737,DAL,2023-08-01,5.4,21,0,11,8,10,18,3.89
Douglas Nichols,77270999,SHV,2023-08-02,3.7,22,1,15,8,4,3,5.95
David Ford,9977034,FTW,2023-08-02,6.1,51,1,11,18,12,10,8.36
Sean Obrien,15537511,HOU,2023-08-02,5.9,37,0,9,2,16,11,6.27
Natalie Hopkins,40497336,SHV,2023-08-02,1.3,3,1,67,35,3,16,2.31
Stacy Turner,73458833,DAL,2023-08-02,2.7,22,2,2,17,9,24,8.15
James Harris,90946995,FTW,2023-08-02,11.9,83,0,8,5,8,7,6.97
Sarah Cook,26413709,SHV,2023-08-02,6.6,27,1,7,8,33,14,4.09
Amy Escobar,24798974,SHV,2023-08-02,4.9,45,1,18,9,18,3,9.18
Latoya Salazar,67499931,OKC,2023-08-02,6.3,55,0,10,10,9,18,8.73
Brenda Anderson,19927556,SHV,2023-08-02,0.6,5,1,8,3,14,17,8.33
Rachel Williams,82865659,FTW,2023-08-02,9.7,101,1,19,19,19,16,10.41
Dana Stewart,60786305,STX,2023-08-02,11.4,87,0,10,7,15,16,7.63
Sandra Harris,96132022,DAL,2023-08-02,1.8,8,0,13,13,3,17,4.44
James Roach,20716601,STX,2023-08-02,9.1,65,0,10,18,4,19,7.14
Anna Arnold,66814478,DAL,2023-08-02,1.4,8,1,11,8,6,11,5.71
Jose Mendoza,69637807,HOU,2023-08-02,9.8,70,0,5,11,14,32,7.14
Charles Lloyd,98201322,OKC,2023-08-02,6.6,51,0,3,15,15,9,7.73
Sheryl Hill,34639709,DAL,2023-08-02,3.3,17,1,6,7,8,8,5.15
David Murray,6339396,DAL,2023-08-02,5.9,33,0,15,3,30,19,5.59
Patricia Jackson,39617078,SHV,2023-08-02,3.1,11,0,7,11,61,4,3.55
Jordan Riggs,45897467,DAL,2023-08-02,7.4,36,1,41,64,5,8,4.86
Gregory Stewart,4886122,HOU,2023-08-02,5.6,20,0,12,14,12,6,3.57
Mark Collier,9309564,OKC,2023-08-02,7.6,75,1,7,8,12,13,9.87
Lauren Singleton,42856486,STX,2023-08-02,2.9,25,0,6,14,15,18,8.62
Ronald Duarte,50493362,SHV,2023-08-02,6.7,29,0,16,11,11,39,4.33
John White,93384238,STX,2023-08-02,11.4,48,1,4,16,3,11,4.21
Sandra Hopkins,48756022,DAL,2023-08-02,6.5,36,3,5,5,11,42,5.54
Jill Perez,18947956,DAL,2023-08-02,10.5,118,1,7,4,14,9,11.24
John Jones,77743148,HOU,2023-08-02,11.4,106,0,4,10,7,10,9.3
Valerie Martinez,11650492,FTW,2023-08-02,7.4,42,0,13,7,16,18,5.68
Chelsea Maddox,66295315,STX,2023-08-02,5.5,45,0,18,9,11,13,8.18
Chase Hammond,23514686,FTW,2023-08-02,2.7,24,0,16,2,14,14,8.89
Dorothy Mcbride,83218580,DAL,2023-08-02,11.5,87,1,10,9,40,18,7.57
Barbara Ryan,17568007,DAL,2023-08-02,10.3,75,1,3,15,18,6,7.28
Lynn Hawkins,87449731,HOU,2023-08-02,8.0,28,0,2,8,6,8,3.5
Clarence Gonzalez,2392005,HOU,2023-08-02,9.6,91,0,17,9,10,17,9.48
Anna Smith,2526554,FTW,2023-08-02,5.2,14,1,8,3,4,2,2.69
Peggy Tate,30840273,FTW,2023-08-02,3.6,40,0,25,62,19,61,11.11
Matthew Miles,88643207,FTW,2023-08-02,8.6,39,0,4,13,18,9,4.53
Ruth Hansen,26410811,OKC,2023-08-02,7.6,40,0,19,10,15,8,5.26
Melissa Jones,92375666,FTW,2023-08-02,6.0,24,0,6,5,9,3,4.0
Jose Lloyd,56962859,FTW,2023-08-02,2.7,24,1,3,16,11,9,8.89
Travis Hernandez,31868090,DAL,2023-08-02,5.0,14,0,17,5,47,17,2.8
Elaine Flores,82308356,OKC,2023-08-02,6.3,61,1,5,3,9,18,9.68
Kiara Williams,9364733,FTW,2023-08-02,4.9,15,1,10,16,10,9,3.06
Erin Johnson,47665349,HOU,2023-08-02,3.5,36,0,11,7,61,6,10.29
Kimberly Lawson,16559716,SHV,2023-08-02,3.2,15,0,7,7,3,17,4.69
Mary Watson,6002164,HOU,2023-08-02,3.5,33,0,7,11,14,6,9.43
David Newton,67750878,STX,2023-08-02,6.8,74,2,9,12,8,66,10.88
Rachel Parsons,26264579,FTW,2023-08-02,5.4,61,1,4,13,6,4,11.3
Karen Mathis,27600905,HOU,2023-08-02,2.9,18,1,8,18,2,8,6.21
Jennifer Bowman,59486462,FTW,2023-08-02,8.2,60,0,4,10,4,9,7.32
Patrick Small,39057094,HOU,2023-08-02,1.2,12,1,8,17,2,8,10.0
Jeremy Fry,1481337,STX,2023-08-02,7.8,43,1,5,7,12,37,5.51
Denise Sanchez,58873729,SHV,2023-08-02,4.1,16,1,45,21,18,7,3.9
Miranda West,46967111,STX,2023-08-02,9.2,41,1,19,11,7,8,4.46
Jose Carroll,34218855,FTW,2023-08-02,5.5,53,0,18,18,10,10,9.64
Roberto Alexander,57320968,FTW,2023-08-02,6.8,15,1,15,2,10,8,2.21
Colin King,27389471,OKC,2023-08-02,4.5,27,1,14,19,24,8,6.0
Ethan Gallegos,3536701,HOU,2023-08-02,5.1,44,1,17,12,5,64,8.63
Brittany Webb,37390235,FTW,2023-08-02,4.8,47,0,7,18,18,11,9.79
Austin Herrera,60256606,STX,2023-08-02,2.9,5,1,16,3,19,15,1.72
Bryan Pham,7886301,STX,2023-08-02,3.7,38,1,11,18,6,8,10.27
Brian Taylor,75222115,FTW,2023-08-02,11.5,84,0,19,18,12,3,7.3
Jennifer Brown,57107385,DAL,2023-08-02,3.6,38,0,10,11,5,17,10.56
Tiffany Smith,69716341,SHV,2023-08-02,9.5,110,1,5,15,10,5,11.58
Kristy Jacobs,68190334,HOU,2023-08-02,11.0,54,1,2,11,51,13,4.91
Tony Powell,20879496,DAL,2023-08-02,3.3,16,1,15,11,3,16,4.85
Brandon Moreno,4793547,DAL,2023-08-02,6.7,47,0,7,8,8,13,7.01
Anna Nelson,14325942,SHV,2023-08-02,10.8,46,1,7,17,14,9,4.26
Jacob Carr,74843235,DAL,2023-08-02,10.1,74,3,12,4,15,26,7.33
Pamela Maldonado,81354516,STX,2023-08-02,1.7,10,0,29,38,63,8,5.88
Ryan Porter,34435132,OKC,2023-08-02,5.0,10,1,5,3,19,6,2.0
Hunter Munoz,80766757,OKC,2023-08-02,0.9,2,0,9,10,15,6,2.22
James Bartlett,92131686,OKC,2023-08-02,8.6,92,0,18,5,6,11,10.7
John Woodward,43839176,DAL,2023-08-02,1.7,9,0,12,5,5,4,5.29
Tina Brown,60561543,DAL,2023-08-02,0.8,5,1,12,2,14,10,6.25
Tina Hernandez,72195856,STX,2023-08-02,2.7,16,0,19,17,19,9,5.93
Monique Ray,64606888,HOU,2023-08-02,2.6,29,1,17,6,12,12,11.15
Dave Graham,11267032,STX,2023-08-02,6.8,31,1,6,19,13,8,4.56
Timothy Mccormick,12800401,STX,2023-08-02,4.5,46,1,17,12,2,8,10.22
Adam Farmer,43978655,DAL,2023-08-02,1.5,17,0,15,3,5,22,11.33
Chris Madden,94850672,OKC,2023-08-02,7.5,83,0,4,8,8,64,11.07
Daniel Ibarra,42835825,HOU,2023-08-02,2.7,9,1,7,12,10,4,3.33
Gary Jennings,17112032,DAL,2023-08-02,7.5,69,1,3,16,52,3,9.2
Tracy Johnson,8933606,STX,2023-08-02,5.1,52,0,3,10,18,13,10.2
Sara Davis,40994287,FTW,2023-08-02,3.9,13,0,9,7,10,16,3.33
Michael Gonzales,94497229,DAL,2023-08-02,2.1,13,1,7,15,6,7,6.19
Michael Leach,87179195,STX,2023-08-02,3.5,10,0,28,62,9,11,2.86
Mark Flowers,41639238,HOU,2023-08-02,2.8,30,0,18,15,10,5,10.71
Janice Farmer,97058780,STX,2023-08-02,3.6,19,1,17,12,42,19,5.28
Jacob Hood,31301588,FTW,2023-08-02,7.5,22,1,15,4,14,9,2.93
Elizabeth Stevenson,94871444,STX,2023-08-02,2.5,16,2,3,9,9,52,6.4
Tanner Romero,34636635,SHV,2023-08-02,3.8,25,0,10,18,4,3,6.58
Karen Wells,69335321,FTW,2023-08-02,11.8,63,1,13,12,12,2,5.34
Erik Thompson,49016266,HOU,2023-08-02,5.8,31,1,14,8,16,15,5.34
Rhonda Brooks,13604223,OKC,2023-08-02,7.5,31,1,11,6,8,9,4.13
Brandon Harrell,33123179,SHV,2023-08-02,9.8,73,1,18,6,47,8,7.45
Caitlin George,47685118,HOU,2023-08-02,3.9,31,1,7,2,2,8,7.95
Eric Jackson,53018010,SHV,2023-08-02,0.7,4,1,4,12,17,13,5.71
Thomas Cummings,57246918,FTW,2023-08-02,5.1,61,0,8,19,2,18,11.96
Heather Fuller,16604091,STX,2023-08-02,10.1,110,1,14,18,5,5,10.89
Jimmy Ruiz,63589781,SHV,2023-08-02,0.5,6,1,13,10,14,19,12.0
Veronica Powell,36801459,OKC,2023-08-02,6.1,27,1,8,12,8,31,4.43
Wanda Stanton,4154277,STX,2023-08-02,10.9,69,1,15,4,5,14,6.33
Tami Cooke,14858504,DAL,2023-08-02,4.5,13,0,36,31,15,15,2.89
Lori Glover,31638930,FTW,2023-08-02,6.9,63,1,10,6,5,5,9.13
Cassandra Mckinney,6676986,FTW,2023-08-02,7.1,74,1,18,9,17,10,10.42
Amanda Edwards,65745320,OKC,2023-08-02,3.2,8,0,7,8,2,9,2.5
Stephanie Williams,94908655,STX,2023-08-02,8.0,45,1,19,11,19,6,5.62
Sean Jensen,35869513,OKC,2023-08-02,10.1,99,1,2,15,39,6,9.8
Vicki Lucas,12893340,DAL,2023-08-02,5.9,32,1,8,5,6,38,5.42
Chris Strong,75702629,HOU,2023-08-02,9.6,49,1,19,16,18,10,5.1
Melody Morris,47601713,STX,2023-08-02,7.2,47,1,15,4,16,9,6.53
Brent Farmer,88724736,HOU,2023-08-02,10.6,60,3,8,18,45,33,5.66
Kaitlyn Riley,59208620,FTW,2023-08-02,2.7,9,0,9,12,16,7,3.33
Hunter Woods,75028321,DAL,2023-08-02,3.1,27,1,10,8,6,6,8.71
Jared Brown,52539361,FTW,2023-08-02,7.9,87,0,15,14,2,3,11.01
Tammy Martinez,70842924,DAL,2023-08-02,6.4,65,0,12,6,18,4,10.16
Amy Griffin,18363974,FTW,2023-08-02,6.0,56,1,9,12,9,12,9.33
Susan Carlson,16135607,OKC,2023-08-02,10.7,69,1,4,17,13,11,6.45
Aaron Gaines,52252216,SHV,2023-08-02,10.0,49,0,13,18,5,11,4.9
Jacob Mccormick,72130366,SHV,2023-08-02,2.5,27,1,68,46,4,12,10.8
Timothy Doyle,7543154,FTW,2023-08-02,9.6,59,1,9,16,37,17,6.15
Alexandria Bass,21931263,SHV,2023-08-02,4.4,51,0,15,9,16,15,11.59
Monique Davis,39583203,STX,2023-08-02,2.1,13,1,3,13,11,28,6.19
James Rhodes,91962453,FTW,2023-08-02,1.3,4,1,10,19,5,17,3.08
Matthew Sanchez,96730712,FTW,2023-08-02,0.8,5,0,3,11,5,6,6.25
Seth Tran,26028559,SHV,2023-08-02,7.6,68,1,12,2,6,5,8.95
Jacob Taylor,82557048,SHV,2023-08-02,8.5,32,0,2,16,4,18,3.76
David West,97218182,FTW,2023-08-02,8.9,29,1,3,9,11,7,3.26
Christina Hernandez,73867417,OKC,2023-08-02,1.4,5,1,13,9,10,12,3.57
James Montoya,80808297,SHV,2023-08-02,8.0,44,0,9,19,2,15,5.5
James Cook,28080912,HOU,2023-08-02,5.4,16,1,4,18,10,2,2.96
Lisa Cox,85448011,OKC,2023-08-02,0.5,2,0,16,14,16,7,4.0
James Thompson,54275980,SHV,2023-08-02,3.3,36,0,2,18,3,13,10.91
Brandy Miller,17426573,DAL,2023-08-02,0.6,4,2,6,16,50,52,6.67
Matthew Smith,33080142,STX,2023-08-02,8.0,77,1,11,10,16,19,9.62
Jeffrey Smith,83152142,STX,2023-08-02,10.5,27,1,17,6,49,10,2.57
Bobby Cummings,30700646,HOU,2023-08-02,7.7,50,0,59,51,15,18,6.49
Sean Robertson,63184988,HOU,2023-08-02,8.4,83,1,18,14,16,61,9.88
Tammy Harris,75592235,STX,2023-08-02,4.7,24,0,17,19,8,16,5.11
Victoria Carlson,64573636,STX,2023-08-02,4.5,28,1,8,16,10,5,6.22
Ryan Brown,56185271,FTW,2023-08-02,10.4,68,1,10,10,15,14,6.54
Benjamin Stephens,34036186,DAL,2023-08-02,6.4,70,0,13,8,8,14,10.94
Douglas Nelson,7837865,OKC,2023-08-02,0.9,6,0,13,15,15,17,6.67
Monica Saunders,77624219,STX,2023-08-02,2.5,20,0,10,7,5,11,8.0
Anne French,35660979,DAL,2023-08-02,6.0,58,0,6,10,9,31,9.67
Brian Fisher,76391571,DAL,2023-08-02,3.2,8,1,16,12,6,19,2.5
Jeanne Williamson,71039737,DAL,2023-08-02,6.3,17,1,6,10,42,16,2.7
Douglas Nichols,77270999,SHV,2023-08-03,2.2,21,0,5,12,9,10,9.55
David Ford,9977034,FTW,2023-08-03,0.7,2,0,3,2,14,15,2.86
Sean Obrien,15537511,HOU,2023-08-03,5.8,42,0,15,10,18,17,7.24
Natalie Hopkins,40497336,SHV,2023-08-03,9.3,30,1,13,7,7,12,3.23
Stacy Turner,73458833,DAL,2023-08-03,10.0,110,1,8,4,5,8,11.0
James Harris,90946995,FTW,2023-08-03,9.5,28,1,7,18,4,4,2.95
Sarah Cook,26413709,SHV,2023-08-03,8.2,50,1,23,53,7,10,6.1
Amy Escobar,24798974,SHV,2023-08-03,8.1,61,0,19,11,3,6,7.53
Latoya Salazar,67499931,OKC,2023-08-03,7.3,75,3,4,8,16,29,10.27
Brenda Anderson,19927556,SHV,2023-08-03,0.8,7,1,19,6,9,13,8.75
Rachel Williams,82865659,FTW,2023-08-03,10.4,109,0,3,14,16,4,10.48
Dana Stewart,60786305,STX,2023-08-03,7.2,60,1,10,3,13,5,8.33
Sandra Harris,96132022,DAL,2023-08-03,7.6,50,1,5,14,29,18,6.58
James Roach,20716601,STX,2023-08-03,10.7,80,0,17,3,13,11,7.48
Anna Arnold,66814478,DAL,2023-08-03,9.8,24,1,18,13,18,17,2.45
Jose Mendoza,69637807,HOU,2023-08-03,10.1,69,0,6,13,9,14,6.83
Charles Lloyd,98201322,OKC,2023-08-03,10.0,82,0,6,10,17,12,8.2
Sheryl Hill,34639709,DAL,2023-08-03,10.2,82,1,8,5,10,10,8.04
David Murray,6339396,DAL,2023-08-03,11.3,126,1,3,17,3,2,11.15
Patricia Jackson,39617078,SHV,2023-08-03,2.5,29,0,7,8,14,49,11.6
Jordan Riggs,45897467,DAL,2023-08-03,0.6,5,0,6,2,8,6,8.33
